,Reaction name,SMIRKS,Priority level,Name of rule subset,Rule source,SOM Indices
0,N-demethylation_(R-NHCH3),[*;!c:1][NH1;X3:2][CH3]>>[*:1][N:2],common,Phase 1 SyGMa rules,SyGMa,2
1,N-demethylation_(c-NHCH3),[c:1][NH1;X3:2][CH3]>>[c:1][N:2],common,Phase 1 SyGMa rules,SyGMa,2
2,N-demethylation_(R-N(CH3)2),[*;!c:1][NH0;X3:2]([CH3])[CH3:3]>>[*:1][N:2][CH3:3],common,Phase 1 SyGMa rules,SyGMa,2
3,N-demethylation_(c-N(CH3)2),[c:1][NH0;X3:2]([CH3])[CH3:3]>>[c:1][N:2][CH3:3],common,Phase 1 SyGMa rules,SyGMa,2
4,N-demethylation_(R-N(CR)CH3),[*;!$([CH3]):1][NH0;X3:2]([CH3])[#6;!$([CH3]):3]>>[*:1][N:2][#6:3],common,Phase 1 SyGMa rules,SyGMa,2
5,N-demethylation_(nCH3),[n:1][CH3]>>[nH1:1],common,Phase 1 SyGMa rules,SyGMa,1
6,N-depropylation,[N;X3:2][CH1]([CH3])[CH3]>>[N:2],common,Phase 1 SyGMa rules,SyGMa,2
7,n-deglycosidation,[n:2][C:3]1[O:4][C:5][C:6][C:7]1>>([nH1:2].O[C:3]1[O:4][C:5][C:6][C:7]1),common,Phase 1 SyGMa rules,SyGMa,2
8,N-deformylation,[NX3:2][CX3;H1]=O>>[N:2],common,Phase 1 SyGMa rules,SyGMa,2
9,N-dealkylation_(piperazine),"[*;!C,!X4:1][N;X3:2]1[C:3][C:4][N;X3:5][CH2][CH2]1>>[*:1][N:2][C:3][C:4][N:5]",common,Phase 1 SyGMa rules,SyGMa,"2,5"
10,N-dealkylation_(morpholine),[N;X3:2]1[C:3][C:4][O:5][CH2:6][CH2:7]1>>[N:2][C:3][C:4][O:5],common,Phase 1 SyGMa rules,SyGMa,"6,7"
11,N-dealkylation_(R-NHCH2-alkyl),[*;!c:1][NH1;X3:2]!@[CH2:3][#6:4]>>([*:1][N:2].O[C:3][#6:4]),common,Phase 1 SyGMa rules,SyGMa,2
12,N-dealkylation_(c-NHCH2-alkyl),[c:1][NH1;X3:2]!@[CH2:3][#6:4]>>([c:1][N:2].O[C:3][#6:4]),common,Phase 1 SyGMa rules,SyGMa,2
13,N-dealkylation_(tertiaryN-CH2-alkyl),[NH0;X3:2]!@[C;X4;H2:4]>>([N:2].O[C:4]),common,Phase 1 SyGMa rules,SyGMa,2
14,N-dealkylation_(quarternary_N),"[#6:1][N+;X4:2]([#6:3])([CH3:4])!@[#6;H1,H2:5]>>([#6:1][N+:2]([H])([#6:3])[C:4].O[#6:5])",common,Phase 1 SyGMa rules,SyGMa,2
15,N-dealkylation_(nCH2),[n:1][CH2:2]>>([nH:1].O[C:2]),common,Phase 1 SyGMa rules,SyGMa,2
16,O-demethylation,[#6;!$(C=O):1][O:2][CH3]>>[#6:1][O:2],common,Phase 1 SyGMa rules,SyGMa,2
17,het-O-demethylation,[*;!#6;!#1;!$(*=O):1][O:2][CH3]>>[*:1][O:2],common,Phase 1 SyGMa rules,SyGMa,2
18,O-dealkylation_(aliphatic),"[C;!$(C(O)~[!#6;!#1]);!$([CH3]):1][O;!$(O1CC1):2][C;X4;!$(C(O)~[!#6;!#1]);H1,H2:3]>>([C:1][O:2].O[C:3])",common,Phase 1 SyGMa rules,SyGMa,2
19,O-dealkylation_(aromatic),"[c:1][O:2][C;X4;!$(C(O)~[!#6;!#1]);H1,H2:3]>>([c:1][O:2].O[C:3])",common,Phase 1 SyGMa rules,SyGMa,2
20,O-deglycosidation,[#6;!$([CH3]);!$(C=O):1][O:2][C:3]1[O:4][C:5][C:6][C:7][C:8]1>>([#6:1][O:2].O[C:3]1[O:4][C:5][C:6][C:7][C:8]1),common,Phase 1 SyGMa rules,SyGMa,2
21,O-dealkylation_(methylenedioxyphenyl)a,[O:1]1[c:2]2[c:3][c:4][c:5][c:6][c:7]2[O:8][CH2]1>>[O:1][c:2]2[c:3][c:4][c:5][c:6][c:7]2[O:8],common,Phase 1 SyGMa rules,SyGMa,"8,1"
22,O-dealkylation_(methylenedioxyphenyl)b,[O:1]1[c:2]2[c:3][c:4][c:5][c:6][c:7]2[O:8][CH2:9]1>>([O:1]1[c:2]2[c:3][c:4][c:5][c:6][c:7]2[O:8].[CH2:9]1),common,Phase 1 SyGMa rules,SyGMa,"8,1"
23,S-dealkylation_c-SCH2-R,[c:1][S:2][CH2:3]>>([c:1][S:2]([H]).O[C:3]),common,Phase 1 SyGMa rules,SyGMa,2
24,aromatic_hydroxylation_(para_to_carbon),[#6:1]~[a:2]1[a:3][a:4][cH1:5]([H])[a:6][a:7]1>>[#6:1]~[a:2]1[a:3][a:4][c:5](O)[a:6][a:7]1,common,Phase 1 SyGMa rules,SyGMa,5
25,aromatic_hydroxylation_(para_to_nitrogen),[#7:1]~[a:2]1[a:3][a:4][cH1:5]([H])[a:6][a:7]1>>[#7:1]~[a:2]1[a:3][a:4][c:5](O)[a:6][a:7]1,common,Phase 1 SyGMa rules,SyGMa,5
26,aromatic_hydroxylation_(para_to_oxygen),[#8:1]~[a:2]1[a:3][a:4][cH1:5]([H])[a:6][a:7]1>>[#8:1]~[a:2]1[a:3][a:4][c:5](O)[a:6][a:7]1,common,Phase 1 SyGMa rules,SyGMa,5
27,aromatic_hydroxylation_(meta_to_carbon),"[#6:1]~[a:2]1[a;!$(a(a)(a)[#6,#7,#8]):3][cH1:4]([H])[a;!$(a(a)(a)[#6,#7,#8]):5][a:6][a;!$(a(a)(a)[#6,#7,#8]):7]1>>[#6:1]~[a:2]1[a:3][c:4](O)[a:5][a:6][a:7]1",common,Phase 1 SyGMa rules,SyGMa,4
28,aromatic_hydroxylation_(ortho_to_nitrogen),"[#7:1]~[a:2]1[cH1:3]([H])[a;!$(a(a)(a)[#6,#7,#8]):4][a:5][a;!$(a(a)(a)[#6,#7,#8]):6][a:7]1>>[#7:1]~[a:2]1[c:3](O)[a:4][a:5][a:6][a:7]1",common,Phase 1 SyGMa rules,SyGMa,3
29,aromatic_hydroxylation_(ortho_to_oxygen),"[#8:1]~[a:2]1[cH1:3]([H])[a;!$(a(a)(a)[#6,#7,#8]):4][a:5][a;!$(a(a)(a)[#6,#7,#8]):6][a:7]1>>[#8:1]~[a:2]1[c:3](O)[a:4][a:5][a:6][a:7]1",common,Phase 1 SyGMa rules,SyGMa,3
